,Texts,Midia,Rationales
16,"Aos 26 minutos, a torcida xingava e pedia Obina na seleção, quando Kaká chutou forte de longe e Ronaldinho Gaúcho deu uma leve desviada na bola, enganando o goleiro equatoriano.",Estadao,xingava e pedia
17,"O Brasil lavou a alma após o decepcionante empate com a Colômbia no último domingo e, nesta quarta-feira, aplicou uma sonora goleada por 5 a 0 sobre o Equador no Maracanã.",Estadao,decepcionante empate; sonora goleada
18,"Neste domingo, Eduardo Bolsonaro foi um dos bolsonaristas a lamentar a derrota.",Estadao,a lamentar a derrota
19,"A narrativa de Ernaux reverbera em nós pela escrita objetiva e delicada, mas também pela tradução de conflitos que, cada um de nós à sua maneira, tem que enfrentar.",Estadao,reverbera em nós; escrita objetiva e delicada; pela tradução de conflitos
20,"Simone Tebet (MDB) superou Ciro Gomes (PDT) e ocupou o terceiro posto, em um momento em que ambos tentam evitar a perda de apoio para Lula, por conta do fenômeno do ""voto útil"".",Estadao,"tentam evitar; fenômeno do ""voto útil"""
21,Já o senador Aloizio Mercadante (PT-SP) não tem respaldo junto aos militares.,Estadao,não tem respaldo
22,As eleições brasileiras extrapolaram o território nacional e chamam atenção do mundo — e das celebridades estrangeiras,Estadao,extrapolaram; chamam atenção
23,"A inflação chegou aos dois dígitos e o custo de vida está nas alturas, ampliando temores de distúrbios sociais.",Estadao,está nas alturas; ampliando temores de distúrbios
24,"Com sua escrita potente, elogiada pela imortal Nélida Piñon, ela escreveu poemas como Delírio:",Estadao,escrita potente; imortal
25,"Embora escape da curva desenhada pelo governo federal, esse fantasma não assusta - e tudo indica que ele vá ficar mais camarada.",Estadao,fantasma não assusta; tudo indica
26,"Para colocar mais recursos no orçamento secreto, esquema montado pelo governo para compra de voto no Congresso, o governo Bolsonaro preferiu cortar no programa elogiado pelos especialistas como importante política pública para desafogar o Sistema Único de Saúde (SUS).",Estadao,preferiu cortar no programa elogiado pelos especialistas; importante política; para desafogar
27,"BANGCOC - No pior massacre cometido por um atirador na história da Tailândia, um ex-policial matou 37 pessoas, incluindo 23 crianças de dois e três anos - a maioria, a facadas- em um ataque a uma creche no nordeste do país.",Estadao,massacre; crianças de dois e três anos; facadas; ataque a uma creche
28,"A relação com o pai, ou com a mãe, e a separação acarretada pela entrada na vida adulta, são um tema crucial para todo ser humano.",Estadao,são um tema crucial
29,"O achaque, revelado pela revista Veja em 14 de maio de 2005, atingiu em cheio o presidente do partido, Roberto Jefferson, à época deputado.",Estadao,achaque; atingiu em cheio
30,A rainha também deixa um reino à beira da fragmentação.,Estadao,deixa; à beira da fragmentação
31,"Numa atitude que incomoda a tradição do Itamaraty, Bolsonaro chegou a declarar apoios aos candidatos de direita na América do Sul - mas em alguns casos eles evitaram vincular sua imagem à dele.",Estadao,incomoda; chegou a declarar; evitaram vincular
32,"Aprovada em uma votação relâmpago anteontem no Senado, a emenda constitucional é de autoria do senador Marco Maciel (DEM-PE).",Estadao,votação relâmpago
33,"Em agosto, Meloni esclareceu sua controvertida relação com o fascismo.",Estadao,controvertida relação; fascismo
34,"Em uma segunda e tumultuada entrevista, Chinaglia contou que recebeu um telefonema do presidente Luiz Inácio Lula da Silva para cumprimentá-lo pela vitória.",Estadao,tumultuada entrevista
35,"O Brasil entrou na piscina com Fernando Silva, Nicholas Santos, Eduardo Deboni e César Cielo - este último não disputou as eliminatórias (foi substituído na quinta-feira por Thiago Pereira) para ser poupado para a final, o que foi fundamental para a vitória, já que Cielo foi o mais rápido dos brasileiros.",Estadao,fundamental para a vitória
36,"A queda ocorreu mesmo com os alimentos puxando a corda no sentido contrário; juntas, alimentação e bebidas subiram 1,3% no mês.",Estadao,mesmo; puxando a corda no sentido contrário
37,"Se aprovado pelos deputados, o texto não terá o mesmo tratamento célere no Senado.",Estadao,não terá o mesmo tratamento célere
38,"Para empreiteiras, operação tapa-buraco é ""band-aid""´.",Estadao,"tapa-buraco; ""band-aid"""
39,"Favorito, Benzema era o mais cotado por seu grande desempenho na temporada 2021/2022",Estadao,era o mais cotado; grande desempenho
40,"Na quarta-feira, o Senado aprovou em dois turnos de votação emenda que retira qualquer possibilidade de defesa ao parlamentar que mudou de legenda, dando às direções partidárias total poder para cassar o mandato de seus filiados.",Estadao,dando; poder para cassar
41,O ato demonstrou que os irmãos do religioso não têm intenção de negociar o fim da greve de fome.,Estadao,demonstrou; não têm intenção
42,O desempenho individual dos candidatos vale muito pouco se não forem atalhos para resolver os dilemas da campanha que se aproxima do fim com um paradoxo:,Estadao,vale muito pouco; forem atalhos; paradoxo
43,"Ex-líder do PP, Pedro Henry (MT) cogitou sair da função, mas teria desistido da idéia.",Estadao,cogitou; mas teria desistido
44,"Na segunda, o terremoto causou um pequeno incêndio em um transformador em uma unidade da companhia, que foi rapidamente controlado.",Estadao,causou; rapidamente
45,"De saída, presidente demissionário da agência cobra explicações do ministro sobre sua atuação.",Estadao,cobra explicações
46,"Desconhecido dos eleitores, o indicado do presidente da sigla, Roberto Jefferson, atuou como linha auxiliar de Bolsonaro no debate, sendo escolhido duas vezes como alvo das perguntas do presidente e tecendo elogios ao seu governo.",Estadao,Desconhecido; alvo; tecendo elogios
47,"Além de permitir esse polêmico método de extração de combustíveis fósseis, até então proibido no país, Truss também anunciou o aumento das licenças para a extração de petróleo e gás no Mar do Norte entre suas medidas para combater a crise energética, apesar das críticas de ambientalistas e cientistas que dizem que a medida prejudica o compromisso do país com o combate às mudanças climáticas.",Estadao,permitir esse polêmico método; proibido; críticas de ambientalistas e cientistas que dizem que a medida prejudica;
48,"A mensagem do artista é singela, mas poderosa: transformar aflições em esperança, guerra em paz, é a essência da missão das Nações Unidas.",Estadao,"é singela, mas poderosa"
49,A demora intrigou diplomatas chilenos.,Estadao,intrigou
50,"O desempenho da carteira foi puxado por financiamento de veículos, que cresceu 58,6% no período, e por crédito para micro, pequenas e médias empresas, que avançou 59,7%.",Estadao,foi puxado por financiamento; e por crédito
51,"Enquanto os nacionalistas escoceses se preparam para um novo referendo de independência, a Irlanda do Norte, lentamente, escorrega na direção da reunificação com a Irlanda, caso o governo de Truss não consiga renegociar o acordo de saída da União Europeia.",Estadao,nacionalistas; lentamente; escorrega; caso; não consiga renegociar
52,"Uma ironia, aliás, pois antes do jogo, quando no telão apareciam os jogadores da seleção, Vágner havia levado uma sonora vaia.",Estadao,ironia; sonora vaia
53,Os compromissos de Lula contra o aborto e em defesa da família reforçam a influência política adquirida pelos evangélicos.,Estadao,aborto; influência política adquirida pelos evangélicos
54,"Desta vez, porém, ele aceitou o convite para ir ao confronto com Lula e muniu o chefe do Executivo de perguntas sobre os esquemas de corrupção do PT e a transferência de líderes do crime organizado para presídios federais.",Estadao,muniu o chefe do Executivo; esquemas de corrupção do PT; transferência de líderes do crime organizado
55,A partir daí virou festa.,Estadao,virou festa.
56,Kaká acertou um belíssimo chute de longe no ângulo aos 31 e fez 3 a 0.,Estadao,belíssimo chute
57,Ataques como o desta quinta são raros no país.,Estadao,são raros
58,"Em vez de cativar indecisos, repetiu temas explorados à exaustão, como a relação do petista com a Nicarágua e da Venezuela.",Estadao,Em vez de cativar indecisos; explorados à exaustão
59,"Ela tem grandes chances de formar uma coalizão de governo depois de ter se aliado ao populista de direita Matteo Salvini, da Liga, e ao ex-premiê Silvio Berlusconi, do Força Itália.",Estadao,tem grandes chances; depois de ter se aliado
60,Aliança com Bolsonaro reacende planos de Moro no STF e até candidatura à Presidência.,Estadao,reacende planos; e até candidatura à Presidência
61,"Em suas declarações até o momento, o petista vinha tratando o tema com distanciamento, deixando para apoiadores a associação explícita do atual presidente com pedofilia.",Estadao,com distanciamento; associação explícita do atual presidente com pedofilia
62,"O Itaú, segundo maior banco privado do País, obteve lucro líquido de R$ 4,016 bilhões no primeiro semestre desse ano, superando o rival Bradesco e registrando o maior lucro entre bancos privados nos últimos 20 anos.",Estadao,superando o rival Bradesco
63,"E isso com direito a uma seqüência de dribles de Robinho que há muito não se vê no futebol, simplesmente espetacular.",Estadao,"que há muito não se vê no futebol, simplesmente espetacular."
64,O mundo está em pânico com a mais nova ameaça de utilização de armas nucleares por parte de uma das nações mais importantes do planeta.,Estadao,O mundo está em pânico; nova ameaça de utilização de armas nucleares; uma das nações mais importantes
65,"E o primeiro tempo ficou nisso, na expectativa de que o Brasil poderia, finalmente, mostrar seu melhor futebol na etapa final.",Estadao,na expectativa; finalmente; seu melhor futebol
66,Arlindo Chinaglia evitou entrar na polêmica de que o Senado estaria em uma queda de braço com a Câmara para saber quem decide primeiro sobre temas que estão em evidência.,Estadao,evitou entrar na polêmica;  em uma queda de braço
67,As pretensões de Moro vão além e podem até render uma candidatura ao Planalto em 2026.,Estadao,pretensões de Moro vão além; até render uma candidatura
68,"Nessa esteira de pensamento, a autora faz uso da autobiografia como instrumento para falar de sensações e memórias comuns a todos os leitores, em uma escrita seca e direta, na qual há pouco espaço para o juízo de valor e para construções romanescas",Estadao,Nessa esteira de pensamento; faz uso da autobiografia como instrumento; comuns a todos os leitores; escrita seca e direta; há pouco espaço para o juízo de valor e para construções romanescas
69,Seleção brasileira aplica um sonoro 5 a 0 em Maracanã lotado com direito a um lance incrível de Robinho,Estadao,sonoro; lance incrível
70,Os fatos ilustram bem a diferença.,Estadao,ilustram bem
71,"Existem pontos de convergência entre o grupo e a retórica bolsonarista, como a aversão ao comunismo e posições conservadoras no campo dos costumes.",Estadao,Existem pontos de convergência; aversão ao comunismo e posições conservadoras
72,"A deputada federal eleita Rosangela Moro (União Brasil-SP), mulher do ex-juiz, também foi entusiasta da reaproximação, com o discurso de unir forças para derrotar Lula no segundo turno.",Estadao,mulher do ex-juiz;  foi entusiasta da reaproximação
73,O principal foco de interesse sobre Lula era a sua ausência no debate.,Estadao,O principal foco; era a sua ausência
74,O desgaste do governo atingiu níveis crítico.,Estadao,níveis críticos
75,"Presidente falou em ""Deus, pátria, família e liberdade"", expressão semelhante à utilizada pela Ação Integralista Brasileira (AIB), de inspiração fascista",Estadao,expressão semelhante à utilizada pela Ação Integralista Brasileira (AIB); inspiração fascista
76,"A candidata passou praticamente todo o debate no segundo lugar, atrás apenas da hashtag #DebateNoSBT, mas ficou apenas em quinto no número total de posts, parte deles ataques de bolsonaristas e trocadilhos pejorativos com o seu sobrenome.",Estadao,praticamente todo o debate; ficou apenas em quinto
77,Brasil goleia o Equador e dá o show que a torcida esperava,Estadao,goleia; dá o show que a torcida esperava
78,Legenda divulgou nota repudiando a posição de seu ex-candidato à Presidência,Estadao,repudiando a posição de seu ex-candidato
79,O ex-ministro poderá agora realimentar expectativas de ser nomeado ao Supremo Tribunal Federal (STF) se Bolsonaro for reeleito.,Estadao,poderá agora realimentar expectativas
80,"As fraudes envolviam, também, o superfaturamento de contratos com fornecedores da Assembléia, além de uma verdadeira ""farra"" com passagens aéreas distribuídas fartamente entre os parlamentares, seus familiares e amigos.",Estadao,"verdadeira ""farra""; distribuídas fartamente"
81,"O ouro no revezamento foi especial para Thiago Pereira (ele ganha a medalha mesmo não atuando na final), que conquistou sua segunda medalha dourada nesta sexta-feira e a quinta no Pan.",Estadao,foi especial; mesmo não atuando na final
82,"Além do salário-base e verba de gabinete, os parlamentares estaduais conseguem engordar seus vencimentos com penduricalhos como auxílio moradia e reuniões extraordinárias.",Estadao,conseguem engordar seus vencimentos com penduricalhos
83,"Lula, por sua vez, demonstrou irritação e, mais vezes do que o rival, recorreu a xingamentos como mentiroso e cara de pau.",Estadao,demonstrou irritação; recorreu a xingamentos como mentiroso e cara de pau
84,"O primeiro a desbancar a dupla foi croata Modric, em 2018. ""Era um sonho de criança.",Estadao,"""Era um sonho de criança."
85,Padre Kelmon (PTB) faz dobradinha com Bolsonaro e pauta aborto no encontro.,Folha,faz dobradinha; aborto
86,"No entanto, deputados de oposição tentam obstruir a votação para adiar a aprovação da prorrogação da PEC da CPMF.",Folha,tentam obstruir a votação para adiar a aprovação
87,A discussão sobre a proposta já foi aberta e a intenção do governo é votar a prorrogação da cobrança do chamado imposto do cheque ainda hoje.,Folha,intenção do governo é votar; chamado imposto do cheque
88,"A Folha apurou que o PMDB não quer preencher a vaga de Lomanto, por considerar um cargo espinhoso.",Folha,apurou que o PMDB; considerar um cargo espinhoso
89,"Em uma das maiores reviravoltas já registradas no futebol europeu, o jogador que era sombra de Cristiano Ronaldo e se tornou um pária do futebol francês foi escolhido o melhor do mundo pela revista France Football.",Folha,uma das maiores reviravoltas já registradas; que era sombra; se tornou um pária
90,É aí que mora o perigo.,Folha,mora o perigo
91,O grupo de manifestantes pichou a frase,Folha,manifestantes pichou
92,Bolsonaro desperdiça crítica ambiental acertada aos europeus com mentira sobre a Amazônia.,Folha,desperdiça crítica; com mentira
93,"Moro quer reforçar sua imagem como um símbolo do antipetismo no país e voltar a andar ao lado do bolsonarismo, de onde vem a maioria do seu apoio político.",Folha,quer reforçar sua imagem; e voltar a andar ao lado do bolsonarismo; de onde vem a maioria do seu apoio
94,Também acirrou a relação do Judiciário com o governo do presidente Jair Bolsonaro.,Folha,acirrou a relação
95,"Ainda naquela entrevista no ano passado, a escritora reivindicou seu lugar de vanguarda na corrente feminista, a partir de ""La Femme Gelée"" (a mulher gelada).",Folha,reivindicou seu lugar de vanguarda
96,Acidentes de trem não são incomuns no Egito e quase sempre ocorrem devido à falta de manutenção.,Folha,não são incomuns; quase sempre ocorrem devido à falta de manutenção
97,"Em entrevista ao G1 na última segunda (22), ele se valeu das teses dos autores de ""Freakonomics"", livro dos norte-americanos Steven Levitt e Stephen J. Dubner, que estabelece relação entre a legalização do aborto e a redução da violência nos EUA.",Folha,se valeu das teses; estabelece relação entre a legalização do aborto e a redução da violência
98,"Se a obra de Aleksiévitch se inscreve no quadro mais distanciado do jornalismo, trabalhando a partir do relato coletado, a de Ernaux, de 82 anos, sai do particular para tocar o coletivo.",Folha,se inscreve no quadro mais distanciado do jornalismo; sai do particular para tocar o coletivo
99,"Em discurso em um almoço beneficente ontem na quadra de uma escola de samba na zona norte de São Paulo, o tucano ironizou:",Folha,ironizou:; 
100,"Apesar de ser, de longe, o principal artilheiro francês, ele ficou cinco anos e meio sem ser chamado para a seleção e, nesse período, parecia ter explodido todas as pontes com os dirigentes do país e com o treinador.",Folha,"ser, de longe, o principal artilheiro; parecia ter explodido todas as pontes"
101,A atuação das Forças Armadas na fiscalização das eleições tem sido utilizada pelo presidente Bolsonaro para justificar seu esforço de desacreditar as urnas eletrônicas.,Folha,tem sido utilizada; para justificar seu esforço de desacreditar
102,"Durante a campanha, Moro voltou a flertar com o bolsonarismo, ressaltar o trabalho que teve na Lava Jato e a atacar Lula.",Folha,voltou a flertar com o bolsonarismo
103,"Mas frisou, claro, a segurança nacional, que sob sua batuta multiplicou sua capacidade bélica.",Folha,frisou; sob sua batuta multiplicou sua capacidade bélica
104,Vídeo falso de Bonner expõe falhas de big techs contra fake news perto da eleição.,Folha,Vídeo falso; expõe falhas; fake news
105,"A costura tem sido feita pelo ex-secretário de Comunicação Fábio Wajngarten e pelo ministro das Comunicações, Fábio Faria.",Folha,A costura tem sido feita
106,A oscilação favoreceu o presidente.,Folha,oscilação favoreceu
107,A Folha Online apurou que o relator --preocupado com o desgaste de um arquivamento imediato da segunda representação contra Renan-- decidiu recomendar em seu voto a paralisação das investigações por influência de senadores do próprio PMDB.,Folha,preocupado com o desgaste; decidiu recomendar em seu voto; por influência
108,"Lula lança carta aos evangélicos e rechaça aborto, banheiro unissex e pastor que mente.",Folha,"rechaça aborto, banheiro unissex e pastor que mente."
109,Isso deu ao partido o direito a quase R$ 500 milhões do fundo eleitoral para as eleições deste ano.,Folha,deu ao partido o direito a quase R$ 500 milhões
110,"O contexto da guerra cria urgência sobre a segurança energética e deixa em xeque os planos de transição da União Europeia, que até então estava em uma posição mais confortável para pedir ao restante do mundo mais ambição nas metas de redução das emissões de gases-estufa.",Folha,cria urgência sobre a segurança energética e deixa em xeque;  estava em uma posição mais confortável
111,No primeiro tempo o Brasil foi superior.,Folha,foi superior.
112,"O desgaste na base ficou evidente nesta semana durante debate promovido pela TV Câmara, quando Aldo afirmou que não ""julga prudente nem equilibrado a concentração de poder"" nas mãos de um só partido.",Folha,"desgaste na base ficou evidente; quando Aldo afirmou que não ""julga prudente nem equilibrado"
113,"Após um fim de semana no Norte e Nordeste ao lado de caciques pefelistas adeptos de uma campanha mais ofensiva e com discursos duros contra o presidente Luiz Inácio Lula da Silva, o candidato do PSDB à Presidência, Geraldo Alckmin, deixou ontem a linha ""paz e amor"" e se curvou à temperatura alta do debate eleitoral.",Folha,"ao lado de caciques pefelistas adeptos de uma campanha mais ofensiva e com discursos duros;  deixou ontem a linha ""paz e amor"" e se curvou à temperatura alta"
114,Ele se expôs ao participar pelo menos seis vezes de depoimentos nas CPIs que apuram a crise aérea -chegou a ser responsabilizado pelo acidente.,Folha,se expôs; apuram a crise aérea -chegou a ser responsabilizado
115,"Lee, então candidato único ao cargo, é ex-chefe de segurança e foi responsável por implementar a dura repressão ao movimento pró-democracia local.",Folha,é ex-chefe de segurança e foi responsável por implementar a dura repressão
116,"Alguns governantes europeus podem sentir-se tentados a aquiescer, diante da perspectiva de um inverno sem o gás russo para aquecer as casas.",Folha,"podem sentir-se tentados a aquiescer, diante da perspectiva"
117,"A recusa, pois, ao mecanismo mais associado à literatura, o da invenção, dá um nó na cabeça dos que insistem em associar o belo à ficção e a chamar de literatura somente o inventado.",Folha,mais associado à literatura; dá um nó na cabeça
118,"o PT extrapolou (ultrapassou, passou) de todos os limites"" e se mostrou inconformado com a reprodução das afirmações dadas em entrevista a um podcast que viralizou nas redes sociais, causou muita indignação e gerou comentários de repúdio de personalidades do meio político, cultural e de diversos setores da sociedade.",Folha,"extrapolou (ultrapassou, passou) de todos os limites""; se mostrou inconformado; viralizou; causou muita indignação e gerou comentários de repúdio"
119,A crítica é oportuna e faz coro com o ambientalismo.,Folha,é oportuna e faz coro
120,"A medida atingirá programas centrais no atendimento à população, o que deflagrou o temor de repercussão negativa nas urnas.",Folha,atingirá programas centrais; deflagrou o temor
121,E alfinetou:,Folha,E alfinetou:
122,"Procurado pela campanha bolsonarista, Moro declarou voto no presidente e foi ao debate promovido por Folha, UOL, Band e TV Cultura neste domingo (16) ao lado do candidato à reeleição -o ex-ministro foi convidado para provocar e desestabilizar Lula.",Folha,foi convidado para provocar e desestabilizar
123,A estratégia foi montada para evitar novos atrasos no processo contra Renan.,Folha,foi montada para evitar
124,Alguns queriam que a estátua ficasse danificada como um sinal dos tempos violentos.,Folha,Alguns queriam; tempos violentos
125,"A apenas um mês da Copa do Mundo do Qatar, o astro brasileiro Neymar disputa a partir desta segunda-feira (17) uma partida incômoda em Barcelona, onde começa o julgamento pelas supostas irregularidades em sua polêmica contratação pelo clube catalão há quase uma década.",Folha,partida incômoda; polêmica contratação
126,"Apesar de não descartar a disputa presidencial daqui a quatro anos, Moro também está de olho no Governo do Paraná, cuja vitória se tornaria viável com apoio de bolsonaristas.",Folha,também está de olho; cuja vitória se tornaria viável com apoio
127,"A extensa saga judicial provocada pela transferência de Neymar em 2013 dos Santos para o Barcelona tem um novo capítulo em um tribunal da cidade espanhola, com o início do julgamento da ação apresentada há sete anos pelo grupo DIS, fundo que possuía parte dos direitos econômicos do atleta quando ele era um promissor atacante do clube paulista.",Folha,quando ele era um promissor atacante
128,Há ainda outros casos famosos de ataques a obras de arte.,Folha,outros casos famosos de ataques
129,"Na partida contra o Equador, o time comandado pelo técnico Dunga também precisava apagar a imagem deixada após o empate sem gols com a Colômbia, em Bogotá, na estréia nas eliminatórias.",Folha,também precisava apagar a imagem
130,"Na prática, isso deve colocar os dois bem próximos politicamente.",Folha,isso deve colocar; próximos politicamente
131,A bola desviou em Ronaldinho e enganou o goleiro.,Folha,enganou o goleiro.
132,"No minuto seguinte, o centroavante em um bonito chute quase fez o segundo gol.",Folha,em um bonito chute
133,Ele só deve retornar ao Brasil a uma semana do segundo turno.,Folha,só deve retornar
134,Lula também deu um recado para os passivos (rs).,Folha,para os passivos (rs).
135,Presidente apequena imagem do Brasil com repetidas desinformações e não recebe atenção dos líderes globais,Folha,apequena imagem; com repetidas desinformações; não recebe atenção
136,Governador do Rio evoca livro de americanos que defendem a tese.,Folha,evoca; defendem a tese.
137,"A menos de 20 dias das eleições, a tesourada acendeu um alerta na equipe de campanha de Bolsonaro, em especial quanto ao Farmácia Popular, programa de distribuição gratuita ou com desconto de medicamentos.",Folha,tesourada acendeu um alerta; em especial quanto ao Farmácia Popular
138,"A obra foi atacada por um visitante no Museu do Louvre, disfarçado com uma peruca e uma touca, numa cadeira de rodas.",Folha,atacada
139,E qualquer um que previsse há quatro anos que o centroavante seria o melhor do planeta seria ridicularizado.,Folha,seria ridicularizado
140,"Elas são desenhadas para não matar (embora eventualmente o façam) e, por isso, acabam sendo usadas pelas polícias com liberalidade.",Folha,para não matar (embora eventualmente o façam); acabam sendo usadas; com liberalidade
141,"Com a morte do senador Antonio Carlos Magalhães, o PMDB tenta ganhar o espaço ocupado pelos carlistas na Bahia e conta com o nome de Lomanto -ex-deputado federal e com forte influência política no Estado- para isso.",Folha,Com a morte; tenta ganhar o espaço; conta com o nome; com forte influência política
142,"Os limites de gênero e o seu questionamento são marcantes em sua obra, embora não sejam seu tema único.",Folha,são marcantes; embora; embora não sejam
143,"O Sul, por outro lado, amargou período de seca.",Folha,amargou
144,"A gravação em áudio das caixas-pretas do voo Rio-Paris, que caiu no mar em 2009, matando as 228 pessoas a bordo, foi divulgada nesta segunda-feira (17) durante o processo da fabricante, Airbus, e da companhia aérea, Air France, em um tribunal de Paris -um momento extremamente forte para familiares e amigos das vítimas.",Folha,momento extremamente forte
145,"A Covid também marcou presença no discurso de Xi, mas de modo a reforçar a frustração daqueles que anseiam pelo abandono da polícia de Covid zero.",Folha,marcou presença; de modo a reforçar a frustração
146,"A saída encontrada agrada ao PMDB baiano, que vinha trabalhando para preservar a imagem de Lomanto.",Folha,vinha trabalhando para preservar a imagem
147,"Após anos como militante do movimento estudantil, no qual aperfeiçoou a retórica de palavras claras e contundentes de seus discursos, Meloni foi eleita, aos 29, deputada federal pelo partido Aliança Nacional, formado por membros do MSI.",Folha,como militante do movimento estudantil; aperfeiçoou a retórica de palavras claras e contundentes
148,"Depois dos dois lances, a seleção brasileira passou a tocar a bola no meio-campo e as vaias voltaram mais fortes.",Folha,vaias voltaram mais fortes
149,"O Senado tem freado a análise de propostas votadas a toque de caixa pelos deputados, como o Código Eleitoral, que também traz restrição à divulgação de pesquisas eleitorais.",Folha,freado; votadas a toque de caixa; também traz restrição
150,"A taxa de abstenção foi de 36,2%, a maior da história.",Folha,a maior da história
151,"A emenda segue agora para votação na Câmara, onde as chances de aprovação, no jeito que está, são remotas.",Folha,"chances de aprovação, no jeito que está, são remotas"
152,Não demorou muito para Love acertar a meta.,Folha,Não demorou muito
153,"Bolsonaro e Moro reataram, mas os termos ainda estão sendo costurados.",Folha,reataram; mas; estão sendo costurados
154,"A ação, feita pelo grupo Just Stop Oil, ou Parem Com o Petróleo, em Londres, não é a primeira em que eles danificam uma obra de arte para chamar atenção para assuntos relacionados ao meio ambiente.",Folha,não é a primeira em que eles danificam uma obra de arte para chamar atenção
155,Boicote a Congonhas gera filas e reclamações.,Folha,Boicote; gera filas e reclamações
156,"Uma mulher na menopausa que busca ativamente, e obtém, o gozo.",Folha,"menopausa; que busca ativamente, e obtém, o gozo"
157,Brasil deslancha no fim e goleia Equador em sua volta ao Maracanã,Folha,deslancha; goleia
158,A vitória é mais um golpe no duopólio de Lionel Messi e Cristiano Ronaldo no futebol mundial.,Folha,é mais um golpe no duopólio
159,"Por ser uma mistura de mentor e amigo de Potter e seus amigos, Hagrid acabou se tornando um dos personagens mais queridos dos fãs.",Folha,Por ser uma mistura; um dos personagens mais queridos
160,"A substituição tornou o time mais ofensivo, porém os meias brasileiros tiveram mais espaços para criar.",Folha,substituição tornou o time mais ofensivo; tiveram mais espaços
161,A subida de tom veio no momento de maior crise da campanha de Alckmin.,Folha,subida de tom veio; momento de maior crise
162,"A decisão de Fachin repercutiu negativamente em grupos armamentistas e entre os CACs (caçadores, atiradores e colecionadores).",Folha,repercutiu negativamente
163,"A equipe tocava a bola no meio-campo, mas não atacava com muito perigo.",Folha,com muito perigo.
164,"Na semana passada, Lira manobrou para facilitar a votação do projeto no plenário, ao anexar o texto de Ricardo Barros (PP-PR), líder do governo na Câmara, a uma proposição que já poderia ser analisada.",Folha,manobrou para facilitar; que já poderia ser analisada.
165,A avaliação entre os deputados sanguessugas é que o deputado Coriolano Sales (PFL-BA) se precipitou e expôs o PFL quando decidiu renunciar sozinho ao mandato.,Folha,deputados sanguessugas; se precipitou e expôs; renunciar sozinho
166,"No entanto, o que desmorona a crítica é a falta de credibilidade internacional de quem assinou medidas contrárias à proteção ambiental durante os quatro anos de governo, aos olhos de todo o mundo.",Folha,o que desmorona a crítica é a falta de credibilidade de quem assinou; aos olhos de todo o mundo
